Aaien	Aaide	Geaaid
Headhunten	Headhuntte	Geheadhunt
Healen	Healde	Geheald
Heien	Heide	Geheid
Heiligen	Heiligde	Geheiligd
Heisteren	Heisterde	Geheisterd
Helleniseren	Helleniseerde	Gehelleniseerd
Hemelen	Hemelde	Gehemeld
Hemmen	Hemde	Gehemd
Hengelen	Hengelde	Gehengeld
Herademen	Herademde	Herademd
Herbeginnen	Herbegon	Herbegonnen
Herbeleggen	Herbelegde	Herbelegd
Herbeleven	Herbeleefde	Herbeleefd
Herbenoemen	Herbenoemde	Herbenoemd
Herbevestigen	Herbevestigde	Herbevestigd
Herbewapenen	Herbewapende	Herbewapend
Herbouwen	Herbouwde	Herbouwd
Herdefiniëren	Herdefinieerde	Geherdefinieerd
Herdoen	Herdeed	Herdaan
Herdopen	Herdoopte	Herdoopt
Herdrukken	Herdrukte	Herdrukt
Herenen	Hereende	Hereend
Herenigen	Herenigde	Herenigd
Herexamineren	Herexamineerde	Geherexamineerd
Herfinancieren	Herfinancierde	Geherfinancierd
Herformuleren	Herformuleerde	Geherformuleerd
Hergebruiken	Hergebruikte	Hergebruikt
Hergroeperen	Hergroepeerde	Gehergroepeerd
Herhuisvesten	Herhuisvestte	Geherhuisvest
Herijken	Herijkte	Herijkt
Herindelen	Herindeelde	Heringedeeld
Herinrichten	Herinrichtte	Heringericht
Herinterpreteren	Herinterpreteerde	Geherinterpreteerd
Herintreden	Herintrad	Heringetreden
Herintroduceren	Herintroduceerde	Geherintroduceerd
Herinvesteren	Herinvesteerde	Geherinvesteerd
Herkansen	Herkanste	Herkanst
Herkapitaliseren	Herkapitaliseerde	Geherkapitaliseerd
Herkauwen	Herkauwde	Herkauwd
Herkeuren	Herkeurde	Herkeurd
Herkiezen	Herkoos	Herkozen
Herkrijgen	Herkreeg	Herkregen
Herladen	Herlaadde	Herladen
Hermunten	Hermuntte	Hermunt
Hernieuwen	Hernieuwde	Hernieuwd
Heronderhandelen	Heronderhandelde	Heronderhandeld
Herontdekken	Herontdekte	Herontdekt
Herontginnen	Herontgon	Herontgonnen
Herontwerpen	Herontwierp	Herontworpen
Heropbouwen	Heropbouwde	Heropgebouwd
Heropenen	Heropende	Heropend
Heroprichten	Heroprichtte	Heropgericht
Heropvoeden	Heropvoedde	Heropgevoed
Herordenen	Herordende	Herordend
Heroriënteren	Heroriënteerde	Geheroriënteerd
Heroveren	Heroverde	Heroverd
Heroverwegen	Heroverwoog	Heroverwogen
Herpakken	Herpakte	Herpakt
Herplaatsen	Herplaatste	Herplaatst
Herrekenen	Herrekende	Herrekend
Herschatten	Herschatte	Herschat
Herschikken	Herschikte	Herschikt
Herscholen	Herschoolde	Herschoold
Herschrijven	Herschreef	Herschreven
Hersenspoelen	Hersenspoelde	Gehersenspoeld
Hersmeden	Hersmeedde	Hersmeed
Herspellen	Herspelde	Herspeld
Herstemmen	Herstemde	Herstemd
Herstructureren	Herstructureerde	Geherstructureerd
Hertalen	Hertaalde	Hertaald
Hertellen	Hertelde	Herteld
Hertrouwen	Hertrouwde	Hertrouwd
Heruitbrengen	Heruitbracht	Heruitgebracht
Heruitgeven	Heruitgaf	Heruitgegeven
Hervallen	Herviel	Hervallen
Herverdelen	Herverdeelde	Herverdeeld
Herverkavelen	Herverkavelde	Herverkaveld
Herverzekeren	Herverzekerde	Herverzekerd
Herwaarderen	Herwaardeerde	Geherwaardeerd
Herwerken	Herwerkte	Herwerkt
Heugen	Heugde	Geheugd
Heulen	Heulde	Geheuld
Heupwiegen	Heupwiegde	Geheupwiegd
Hevelen	Hevelde	Geheveld
Hielen	Hielde	Gehield
Hieuwen	Hieuwde	Gehieuwd
Hikken	Hikte	Gehikt
Hinkelen	Hinkelde	Gehinkeld
Hinkepinken	Hinkepinkte	Gehinkepinkt
Hinten	Hintte	Gehint
Hippelen	Hippelde	Gehippeld
Hippen	Hipte	Gehipt
Historiseren	Historiseerde	Gehistoriseerd
Hitsen	Hitste	Gehitst
Hobbyen	Hobbyde	Gehobbyd
Hockeyen	Hockeyde	Gehockeyd
Hoeken	Hoekte	Gehoekt
Hoepelen	Hoepelde	Gehoepeld
Hoeren	Hoerde	Gehoerd
Hoereren	Hoereerde	Gehoereerd
Hoesten	Hoestte	Gehoest
Hoetelen	Hoetelde	Gehoeteld
Hogen	Hoogde	Gehoogd
Hokken	Hokte	Gehokt
Holen	Hoolde	Gehoold
Homogeniseren	Homogeniseerde	Gehomogeniseerd
Homologeren	Homologeerde	Gehomologeerd
Hompelen	Hompelde	Gehompeld
Hongeren	Hongerde	Gehongerd
Honkballen	Honkbalde	Gehonkbald
Honken	Honkte	Gehonkt
Honoreren	Honoreerde	Gehonoreerd
Hooien	Hooide	Gehooid
Hopen	Hoopte	Gehoopt
Hoppen	Hopte	Gehopt
Hopsen	Hopste	Gehopst
Horden	Hordde	Gehord
Horten	Hortte	Gehort
Hospitaliseren	Hospitaliseerde	Gehospitaliseerd
Hospiteren	Hospiteerde	Gehospiteerd
Hossebossen	Hosseboste	Gehossebost
Hosselen	Hosselde	Gehosseld
Hossen	Hoste	Gehost
Hosten	Hostte	Gehost
Hotsen	Hotste	Gehotst
Hotten	Hotte	Gehot
Housen	Housede	Gehoused
Hoven	Hoofde	Gehoofd
Hovenieren	Hovenierde	Gehovenierd
Huichelen	Huichelde	Gehuicheld
Huidvetten	Huidvette	Gehuidvet
Huilebalken	Huilebalkte	Gehuilebalkt
Huiven	Huifde	Gehuifd
Hukken	Hukte	Gehukt
Humaniseren	Humaniseerde	Gehumaniseerd
Hummen	Humde	Gehumd
Huppelen	Huppelde	Gehuppeld
Huppen	Hupte	Gehupt
Hupsen	Hupste	Gehupst
Husselen	Husselde	Gehusseld
Hutselen	Hutselde	Gehutseld
Hutsen	Hutste	Gehutst
Hypen	Hypete	Gehypet
Hyperboliseren	Hyperboliseerde	Gehyperboliseerd
Hyperventileren	Hyperventileerde	Gehyperventileerd
Hypostaseren	Hypostaseerde	Gehypostaseerd
Hypothekeren	Hypothekeerde	Gehypothekeerd
I-bankieren	I-bankierde	Ge-i-bankierd
Iaën	Iade	Geïaad
Idealiseren	Idealiseerde	Geïdealiseerd
Ideologiseren	Ideologiseerde	Geïdeologiseerd
Ignoreren	Ignoreerde	Geïgnoreerd
Ijlen	Ijlde	Geijld
Ijsberen	Ijsbeerde	Geijsbeerd
Ijshockeyen	Ijshockeyde	Geijshockeyd
Ijsracen	Ijsracete	Geijsracet
Ijveren	Ijverde	Geijverd
Ijzelen	Ijzelde	Geijzeld
Ijzen	Ijsde	Geijsd
Imkeren	Imkerde	Geïmkerd
Immatriculeren	Immatriculeerde	Geïmmatriculeerd
Immigreren	Immigreerde	Geïmmigreerd
Immobiliseren	Immobiliseerde	Geïmmobiliseerd
Implanteren	Implanteerde	Geïmplanteerd
Implementeren	Implementeerde	Geïmplementeerd
Imploderen	Implodeerde	Geïmplodeerd
Impregneren	Impregneerde	Geïmpregneerd
Improviseren	Improviseerde	Geïmproviseerd
Inactiveren	Inactiveerde	Geïnactiveerd
Incasseren	Incasseerde	Geïncasseerd
Inclineren	Inclineerde	Geïnclineerd
Incorporeren	Incorporeerde	Geïncorporeerd
Indexeren	Indexeerde	Geïndexeerd
Indiceren	Indiceerde	Geïndiceerd
Individualiseren	Individualiseerde	Geïndividualiseerd
Indoctrineren	Indoctrineerde	Geïndoctrineerd
Indosseren	Indosseerde	Geïndosseerd
Induceren	Induceerde	Geïnduceerd
Industrialiseren	Industrialiseerde	Geïndustrialiseerd
Ineenpersen	Ineenpersde	Ineengepersd
Infantiliseren	Infantiliseerde	Geïnfantiliseerd
Infiltreren	Infiltreerde	Geïnfiltreerd
Influenceren	Influenceerde	Geïnfluenceerd
Informatiseren	Informatiseerde	Geïnformatiseerd
Inhaleren	Inhaleerde	Geïnhaleerd
Initialiseren	Initialiseerde	Geïnitialiseerd
Initiëren	Initieerde	Geïnitieerd
Inkten	Inktte	Geïnkt
Innoveren	Innoveerde	Geïnnoveerd
Insemineren	Insemineerde	Geïnsemineerd
Insinueren	Insinueerde	Geïnsinueerd
Insisteren	Insisteerde	Geïnsisteerd
Instigeren	Instigeerde	Geïnstigeerd
Institueren	Institueerde	Geïnstitueerd
Institutionaliseren	Institutionaliseerde	Geïnstitutionaliseerd
Instrumenteren	Instrumenteerde	Geïnstrumenteerd
Integreren	Integreerde	Geïntegreerd
Intenderen	Intendeerde	Geïntendeerd
Intensifiëren	Intensifieerde	Geïntensifieerd
Intensiveren	Intensiveerde	Geïntensiveerd
Intercepteren	Intercepteerde	Geïntercepteerd
Interliniëren	Interlinieerde	Geïnterlinieerd
Internaliseren	Internaliseerde	Geïnternaliseerd
Internationaliseren	Internationaliseerde	Geïnternationaliseerd
Internetbankieren	Internetbankierde	Geïnternetbankierd
Internetten	Internette	Geïnternet
Interpelleren	Interpelleerde	Geïnterpelleerd
Interpungeren	Interpungeerde	Geïnterpungeerd
Interviewen	Interviewde	Geïnterviewd
Intoneren	Intoneerde	Geïntoneerd
Introduceren	Introduceerde	Geïntroduceerd
Inunderen	Inundeerde	Geïnundeerd
Invalideren	Invalideerde	Geïnvalideerd
Inventariseren	Inventariseerde	Geïnventariseerd
Involveren	Involveerde	Geïnvolveerd
Ioniseren	Ioniseerde	Geïoniseerd
Ironiseren	Ironiseerde	Geïroniseerd
Islamiseren	Islamiseerde	Geïslamiseerd
Isomeriseren	Isomeriseerde	Geïsomeriseerd
Italianiseren	Italianiseerde	Geïtalianiseerd
Itereren	Itereerde	Geïtereerd
Jakhalzen	Jakhalsde	Gejakhalsd
Jakkeren	Jakkerde	Gejakkerd
Jalonneren	Jalonneerde	Gejalonneerd
Jammen	Jamde	Gejamd
Jammeren	Jammerde	Gejammerd
Janken	Jankte	Gejankt
Japen	Jaapte	Gejaapt
Jatten	Jatte	Gejat
Jeinen	Jeinde	Gejeind
Jengelen	Jengelde	Gejengeld
Jennen	Jende	Gejend
Jeremiëren	Jeremieerde	Gejeremieerd
Jetskiën	Jetskiede	Gejetskied
Jeu-de-boulen	Jeu-de-boulde	Gejeu-de-bould
Jeuzelen	Jeuzelde	Gejeuzeld
Jijen	Jijde	Gejijd
Jobben	Jobde	Gejobd
Jobhoppen	Jobhopte	Gejobhopt
Jodelen	Jodelde	Gejodeld
Joechjachen	Joechjachte	Gejoechjacht
Joepen	Joepte	Gejoept
Joggelen	Joggelde	Gejoggeld
Joggen	Jogde	Gejogd
Joinen	Joinde	Gejoind
Jojoën	Jojode	Gejojood
Joken	Jookte	Gejookt
Jokeren	Jokerde	Gejokerd
Jokken	Jokte	Gejokt
Jolen	Joolde	Gejoold
Jollen	Jolde	Gejold
Jonassen	Jonaste	Gejonast
Jongen	Jongde	Gejongd
Jongleren	Jongleerde	Gejongleerd
Jonnen	Jonde	Gejond
Jouen	Joude	Gejoud
Jouwen	Jouwde	Gejouwd
Jubileren	Jubileerde	Gejubileerd
Judassen	Judaste	Gejudast
Judoën	Judode	Gejudood
Jufferen	Jufferde	Gejufferd
Jukken	Jukte	Gejukt
Jureren	Jureerde	Gejureerd
Justeren	Justeerde	Gejusteerd
Jutten	Jutte	Gejut
Kaaidraaien	Kaaidraaide	Gekaaidraaid
Kaaien	Kaaide	Gekaaid
Kaarten	Kaartte	Gekaart
Kaartlezen		
Kaatsen	Kaatste	Gekaatst
Kabelen	Kabelde	Gekabeld
Kadastreren	Kadastreerde	Gekadastreerd
Kaderen	Kaderde	Gekaderd
Kadraaien	Kadraaide	Gekadraaid
Kadreren	Kadreerde	Gekadreerd
Kafferen	Kafferde	Gekafferd
Kaften	Kaftte	Gekaft
Kaken	Kaakte	Gekaakt
Kalefaten	Kalefaatte	Gekalefaat
Kalen	Kaalde	Gekaald
Kalfaten	Kalfaatte	Gekalfaat
Kalken	Kalkte	Gekalkt
Kallegaaien	Kallegaaide	Gekallegaaid
Kallen	Kalde	Gekald
Kalligraferen	Kalligrafeerde	Gekalligrafeerd
Kalven	Kalfde	Gekalfd
Kalveren	Kalverde	Gekalverd
Kamen	Kaamde	Gekaamd
Kamenieren	Kamenierde	Gekamenierd
Kanaliseren	Kanaliseerde	Gekanaliseerd
Kandelaren	Kandelaarde	Gekandelaard
Kandideren	Kandideerde	Gekandideerd
Kanen	Kaande	Gekaand
Kannibaliseren	Kannibaliseerde	Gekannibaliseerd
Kanonneren	Kanonneerde	Gekanonneerd
Kanoën	Kanode	Gekanood
Kanten	Kantte	Gekant
Kanthouwen	Kanthouwde	Gekanthouwd
Kantonneren	Kantonneerde	Gekantonneerd
Kantrechten	Kantrechtte	Gekantrecht
Kantwerken	Kantwerkte	Gekantwerkt
Kapen	Kaapte	Gekaapt
Kapitaliseren	Kapitaliseerde	Gekapitaliseerd
Kapittelen	Kapittelde	Gekapitteld
Kapseizen	Kapseisde	Gekapseisd
Karaoken	Karaookte	Gekaraookt
Karikaturiseren	Karikaturiseerde	Gekarikaturiseerd
Karnen	Karnde	Gekarnd
Karnoffelen	Karnoffelde	Gekarnoffeld
Kartelen	Kartelde	Gekarteld
Karten	Kartte	Gekart
Karteren	Karteerde	Gekarteerd
Kartonneren	Kartonneerde	Gekartonneerd
Karweien	Karweide	Gekarweid
Kasjeren	Kasjerde	Gekasjerd
Kasseien	Kasseide	Gekasseid
Kassen	Kaste	Gekast
Katalyseren	Katalyseerde	Gekatalyseerd
Katapulteren	Katapulteerde	Gekatapulteerd
Kathalzen	Kathalsde	Gekathalsd
Katheteriseren	Katheteriseerde	Gekatheteriseerd
Katten	Katte	Gekat
Kauwen	Kauwde	Gekauwd
Kavelen	Kavelde	Gekaveld
Kazen	Kaasde	Gekaasd
Kazerneren	Kazerneerde	Gekazerneerd
Keepen	Keepte	Gekeept
Keesten	Keestte	Gekeest
Keffen	Kefte	Gekeft
Kegelen	Kegelde	Gekegeld
Kelderen	Kelderde	Gekelderd
Kelen	Keelde	Gekeeld
Kenen	Keende	Gekeend
Kenschetsen	Kenschetste	Gekenschetst
Kentekenen	Kentekende	Gekentekend
Kepen	Keepte	Gekeept
Keperen	Keperde	Gekeperd
Kerken	Kerkte	Gekerkt
Kerkeren	Kerkerde	Gekerkerd
Kermissen	Kermiste	Gekermist
Kerstenen	Kerstende	Gekerstend
Keten	Keette	Gekeet
Ketenen	Ketende	Geketend
Ketsen	Ketste	Geketst
Keuen	Keude	Gekeud
Keutelen	Keutelde	Gekeuteld
Keuteren	Keuterde	Gekeuterd
Keveren	Keverde	Gekeverd
Kezen	Keesde	Gekeesd
Kibbelen	Kibbelde	Gekibbeld
Kickboksen	Kickbokste	Gekickbokst
Kicken	Kickte	Gekickt
Kidnappen	Kidnapte	Gekidnapt
Kielen	Kielde	Gekield
Kielhalen	Kielhaalde	Gekielhaald
Kiemen	Kiemde	Gekiemd
Kienen	Kiende	Gekiend
Kiepen	Kiepte	Gekiept
Kieperen	Kieperde	Gekieperd
Kieren	Kierde	Gekierd
Kieskauwen	Kieskauwde	Gekieskauwd
Kikhalzen	Kikhalsde	Gekikhalsd
Kikken	Kikte	Gekikt
Kikkeren	Kikkerde	Gekikkerd
Killen	Kilde	Gekild
Kimmen	Kimde	Gekimd
Kinkelen	Kinkelde	Gekinkeld
Kippen	Kipte	Gekipt
Kiskassen	Kiskaste	Gekiskast
Kissebissen	Kissebiste	Gekissebist
Kissen	Kiste	Gekist
Kisten	Kistte	Gekist
Kiteboarden	Kiteboardde	Gekiteboard
Kiteskaten	Kiteskatete	Gekiteskatet
Kitesurfen	Kitesurfte	Gekitesurft
Kitsen	Kitste	Gekitst
Kitten	Kitte	Gekit
Klabetteren	Klabetterde	Geklabetterd
Kladderen	Kladderde	Gekladderd
Kladschilderen	Kladschilderde	Gekladschilderd
Klagen	Klaagde	Geklaagd
Klamaaien	Klamaaide	Geklamaaid
Klampen	Klampte	Geklampt
Klappeien	Klappeide	Geklappeid
Klappertanden	Klappertandde	Geklappertand
Klapwieken	Klapwiekte	Geklapwiekt
Klasseren	Klasseerde	Geklasseerd
Klaverjassen	Klaverjaste	Geklaverjast
Kledderen	Kledderde	Gekledderd
Kleien	Kleide	Gekleid
Kleineren	Kleineerde	Gekleineerd
Kleinzen	Kleinsde	Gekleinsd
Klepelen	Klepelde	Geklepeld
Klessebessen	Klessebeste	Geklessebest
Kleumen	Kleumde	Gekleumd
Kleunen	Kleunde	Gekleund
Kleuteren	Kleuterde	Gekleuterd
Kleven	Kleefde	Gekleefd
Kliederen	Kliederde	Gekliederd
Klieken	Kliekte	Gekliekt
Klieren	Klierde	Geklierd
Klikklakken	Klikklakte	Geklikklakt
Klissen	Kliste	Geklist
Klisteren	Klisteerde	Geklisteerd
Klitten	Klitte	Geklit
Klodderen	Klodderde	Geklodderd
Kloeten	Kloette	Gekloet
Klonen	Kloonde	Gekloond
Kloneren	Kloneerde	Gekloneerd
Klonteren	Klonterde	Geklonterd
Klooien	Klooide	Geklooid
Klossen	Kloste	Geklost
Kloten	Klootte	Gekloot
Kluisteren	Kluisterde	Gekluisterd
Kluiven	Kloof	Gekloven
Kluizen	Kluisde	Gekluisd
Klunen	Kluunde	Gekluund
Klungelen	Klungelde	Geklungeld
Klunzen	Klunsde	Geklunsd
Kluppelen	Kluppelde	Gekluppeld
Klussen	Kluste	Geklust
Klutsen	Klutste	Geklutst
Knabbelen	Knabbelde	Geknabbeld
Knagen	Knaagde	Geknaagd
Knakken	Knakte	Geknakt
Knarpen	Knarpte	Geknarpt
Knarsetanden	Knarsetandde	Geknarsetand
Knerpen	Knerpte	Geknerpt
Kneukelen	Kneukelde	Gekneukeld
Kneuteren	Kneuterde	Gekneuterd
Knibbelen	Knibbelde	Geknibbeld
Kniebanden	Kniebandde	Geknieband
Kniepoten	Kniepootte	Gekniepoot
Kniezen	Kniesde	Gekniesd
Knikkebenen	Knikkebeende	Geknikkebeend
Knikkebollen	Knikkebolde	Geknikkebold
Knikken	Knikte	Geknikt
Knikkeren	Knikkerde	Geknikkerd
Knisperen	Knisperde	Geknisperd
Knisteren	Knisterde	Geknisterd
Knobbelen	Knobbelde	Geknobbeld
Knobelen	Knobelde	Geknobeld
Knokken	Knokte	Geknokt
Knoppen	Knopte	Geknopt
Knotten	Knotte	Geknot
Knuffelen	Knuffelde	Geknuffeld
Knuppelen	Knuppelde	Geknuppeld
Knutselen	Knutselde	Geknutseld
Koeioneren	Koeioneerde	Gekoeioneerd
Koekeloeren	Koekeloerde	Gekoekeloerd
Koeken	Koekte	Gekoekt
Koeren	Koerde	Gekoerd
Koersen	Koerste	Gekoerst
Koeteren	Koeterde	Gekoeterd
Koeterwalen	Koeterwaalde	Gekoeterwaald
Koetsen	Koetste	Gekoetst
Kofferen	Kofferde	Gekofferd
Kogelen	Kogelde	Gekogeld
Kokhalzen	Kokhalsde	Gekokhalsd
Kokkelen	Kokkelde	Gekokkeld
Kokkerellen	Kokkerelde	Gekokkereld
Kokkeren	Kokkerde	Gekokkerd
Kolken	Kolkte	Gekolkt
Kollen	Kolde	Gekold
Kolonialiseren	Kolonialiseerde	Gekolonialiseerd
Koloniseren	Koloniseerde	Gekoloniseerd
Kolven	Kolfde	Gekolfd
Kondschappen	Kondschapte	Gekondschapt
Konkelfoezen	Konkelfoesde	Gekonkelfoesd
Konterfeiten	Konterfeitte	Gekonterfeit
Konvooieren	Konvooieerde	Gekonvooieerd
Kooien	Kooide	Gekooid
Koperen	Koperde	Gekoperd
Koppen	Kopte	Gekopt
Koprollen	Koprolde	Gekoprold
Korfballen	Korfbalde	Gekorfbald
Korrelen	Korrelde	Gekorreld
Korren	Korde	Gekord
Korsten	Korstte	Gekorst
Kortoren	Kortoorde	Gekortoord
Kortstaarten	Kortstaartte	Gekortstaart
Kortvleugelen	Kortvleugelde	Gekortvleugeld
Kortwieken	Kortwiekte	Gekortwiekt
Korven	Korfde	Gekorfd
Kosten	Kostte	Gekost
Kostumeren	Kostumeerde	Gekostumeerd
Koten	Kootte	Gekoot
Koteren	Koterde	Gekoterd
Kotteren	Kotterde	Gekotterd
Kouten	Koutte	Gekout
Kozen	Koosde	Gekoosd
Kraaien	Kraaide	Gekraaid
Krabbedieven	Krabbediefde	Gekrabbediefd
Krabbelen	Krabbelde	Gekrabbeld
Krachttrainen	Krachttrainde	Gekrachttraind
Krakken	Krakte	Gekrakt
Kralen	Kraalde	Gekraald
Kramen	Kraamde	Gekraamd
Krammen	Kramde	Gekramd
Kransen	Kranste	Gekranst
Krasselen	Krasselde	Gekrasseld
Krengen	Krengde	Gekrengd
Krenten	Krentte	Gekrent
Kreppen	Krepte	Gekrept
Kreupelen	Kreupelde	Gekreupeld
Krevelen	Krevelde	Gekreveld
Kribbelen	Kribbelde	Gekribbeld
Kribben	Kribde	Gekribd
Krieuwen	Krieuwde	Gekrieuwd
Krijzeltanden	Krijzeltandde	Gekrijzeltand
Krikken	Krikte	Gekrikt
Krikkrakken	Krikkrakte	Gekrikkrakt
Kringelen	Kringelde	Gekringeld
Krinkelen	Krinkelde	Gekrinkeld
Kriskrassen	Kriskraste	Gekriskrast
Krissen	Kriste	Gekrist
Kristalliseren	Kristalliseerde	Gekristalliseerd
Kroelen	Kroelde	Gekroeld
Kroezelen	Kroezelde	Gekroezeld
Kroezen	Kroesde	Gekroesd
Kroken	Krookte	Gekrookt
Krollen	Krolde	Gekrold
Kronometreren	Kronometreerde	Gekronometreerd
Kroppen	Kropte	Gekropt
Krozen	Kroosde	Gekroosd
Kruchen	Kruchte	Gekrucht
Kruidenieren	Kruidenierde	Gekruidenierd
Kruien	Kruide	Gekruid
Kruimen	Kruimde	Gekruimd
Kruipen	Kroop	Gekropen
Kruisjassen	Kruisjaste	Gekruisjast
Kruiven	Kruifde	Gekruifd
Krukken	Krukte	Gekrukt
Krullen	Krulde	Gekruld
Kuberen	Kubeerde	Gekubeerd
Kuchen	Kuchte	Gekucht
Kuipen	Kuipte	Gekuipt
Kuisen	Kuiste	Gekuist
Kuiven	Kuifde	Gekuifd
Kukelen	Kukelde	Gekukeld
Kullen	Kulde	Gekuld
Kunnen	Kon	Gekund
Kuren	Kuurde	Gekuurd
Kurken	Kurkte	Gekurkt
Kwadrateren	Kwadrateerde	Gekwadrateerd
Kwadreren	Kwadreerde	Gekwadreerd
Kwaken	Kwaakte	Gekwaakt
Kwakkelen	Kwakkelde	Gekwakkeld
Kwakken	Kwakte	Gekwakt
Kwakzalven	Kwakzalfde	Gekwakzalfd
Kwalificeren	Kwalificeerde	Gekwalificeerd
Kwalsteren	Kwalsterde	Gekwalsterd
Kwanselen	Kwanselde	Gekwanseld
Kwantificeren	Kwantificeerde	Gekwantificeerd
Kwartetten	Kwartette	Gekwartet
Kwebbelen	Kwebbelde	Gekwebbeld
Kwekken	Kwekte	Gekwekt
Kwelen	Kweelde	Gekweeld
Kwelmen	Kwelmde	Gekwelmd
Kwezelen	Kwezelde	Gekwezeld
Kwijlen	Kwijlde	Gekwijld
Kwijten	Kweet	Gekweten
Kwinkeleren	Kwinkeleerde	Gekwinkeleerd
Kwispelen	Kwispelde	Gekwispeld
Kwispelstaarten	Kwispelstaartte	Gekwispelstaart
Kwiteren	Kwiteerde	Gekwiteerd
Laaien	Laaide	Gelaaid
Labberen	Labberde	Gelabberd
Labelen	Labelde	Gelabeld
Labeuren	Labeurde	Gelabeurd
Laboreren	Laboreerde	Gelaboreerd
Lachen	Lachte	Gelachen
Ladderen	Ladderde	Geladderd
Laden	Laadde	Geladen
Lakken	Lakte	Gelakt
Lallen	Lalde	Gelald
Lambriseren	Lambriseerde	Gelambriseerd
Lamelleren	Lamelleerde	Gelamelleerd
Lamenteren	Lamenteerde	Gelamenteerd
Lamineren	Lamineerde	Gelamineerd
Lammeren	Lammerde	Gelammerd
Langen	Langde	Gelangd
Langlaufen	Langlaufte	Gelanglauft
Lanteren	Lanterde	Gelanterd
Lanterfanten	Lanterfantte	Gelanterfant
Lapzalven	Lapzalfde	Gelapzalfd
Laseren	Laserde	Gelaserd
Lasergamen	Lasergamede	Gelasergamed
Lassen	Laste	Gelast
Lasten	Lastte	Gelast
Lasteren	Lasterde	Gelasterd
Latiniseren	Latiniseerde	Gelatiniseerd
Latten	Latte	Gelat
Lauweren	Lauwerde	Gelauwerd
Laveren	Laveerde	Gelaveerd
Lawaaien	Lawaaide	Gelawaaid
Lay-outen	Lay-outte	Gelay-out
Lazeren	Lazerde	Gelazerd
Lazerstralen	Lazerstraalde	Gelazerstraald
Laïciseren	Laïciseerde	Gelaïciseerd
Leasen	Leasede	Geleased
Lebberen	Lebberde	Gelebberd
Leebraken	Leebraakte	Geleebraakt
Leerlooien		
Leewieken	Leewiekte	Geleewiekt
Leken	Leekte	Geleekt
Lekken	Lekte	Gelekt
Lekkerbekken	Lekkerbekte	Gelekkerbekt
Lellen	Lelde	Geleld
Lemen	Leemde	Geleemd
Lengen	Lengde	Gelengd
Lepelen	Lepelde	Gelepeld
Leppen	Lepte	Gelept
Lepperen	Lepperde	Gelepperd
Leraren	Leraarde	Geleraard
Lessen	Leste	Gelest
Letten	Lette	Gelet
Letteren	Letterde	Geletterd
Leuteren	Leuterde	Geleuterd
Leven	Leefde	Geleefd
Lezen	Las	Gelezen
Liberaliseren	Liberaliseerde	Geliberaliseerd
Lichtmissen	Lichtmiste	Gelichtmist
Liefhebberen	Liefhebberde	Geliefhebberd
Liegen	Loog	Gelogen
Liflaffen	Liflafte	Geliflaft
Lijnen	Lijnde	Gelijnd
Lijsten	Lijstte	Gelijst
Likkebaarden	Likkebaardde	Gelikkebaard
Likken	Likte	Gelikt
Lillen	Lilde	Gelild
Limiteren	Limiteerde	Gelimiteerd
Liniëren	Linieerde	Gelinieerd
Linken	Linkte	Gelinkt
Lippen	Lipte	Gelipt
Lispelen	Lispelde	Gelispeld
Lispen	Lispte	Gelispt
Lithograferen	Lithografeerde	Gelithografeerd
Liëren	Lieerde	Gelieerd
Lobberen	Lobberde	Gelobberd
Lobbyen	Lobbyde	Gelobbyd
Lodderen	Lodderde	Gelodderd
Lodderogen	Lodderoogde	Gelodderoogd
Loeren	Loerde	Geloerd
Loerogen	Loeroogde	Geloeroogd
Loeven	Loefde	Geloefd
Logenstraffen	Logenstrafte	Gelogenstraft
Loggen	Logde	Gelogd
Lokaliseren	Lokaliseerde	Gelokaliseerd
Lokken	Lokte	Gelokt
Lollen	Lolde	Gelold
Lonken	Lonkte	Gelonkt
Loodsen	Loodste	Geloodst
Lorren	Lorde	Gelord
Loten	Lootte	Geloot
Lozen	Loosde	Geloosd
Lubben	Lubde	Gelubd
Lubberen	Lubberde	Gelubberd
Luibakken	Luibakte	Geluibakt
Luien	Luide	Geluid
Luieren	Luierde	Geluierd
Luieriken	Luierikte	Geluierikt
Luiken	Look	Geloken
Luilakken	Luilakte	Geluilakt
Luimen	Luimde	Geluimd
Luistervinken	Luistervinkte	Geluistervinkt
Luiwammesen	Luiwammeste	Geluiwammest
Luizen	Luisde	Geluisd
Lukken	Lukte	Gelukt
Lullen	Lulde	Geluld
Lumbecken	Lumbeckte	Gelumbeckt
Lummelen	Lummelde	Gelummeld
Lunchen	Lunchte	Geluncht
Lunzen	Lunsde	Gelunsd
Lusten	Lustte	Gelust
Lynchen	Lynchte	Gelyncht
M-bankieren	M-bankierde	Ge-m-bankierd
Maaibenen	Maaibeende	Gemaaibeend
Maatslaan		
Macadamiseren	Macadamiseerde	Gemacadamiseerd
Macereren	Macereerde	Gemacereerd
Macrameeën	Macrameede	Gemacrameed
Magnetiseren	Magnetiseerde	Gemagnetiseerd
Mailen	Mailde	Gemaild
Mainteneren	Mainteneerde	Gemainteneerd
Majoreren	Majoreerde	Gemajoreerd
Makelen	Makelde	Gemakeld
Mallen	Malde	Gemald
Maltraiteren	Maltraiteerde	Gemaltraiteerd
Malverseren	Malverseerde	Gemalverseerd
Managen	Managede	Gemanaged
